Order_ID,Order_Date,Order_Line_ID,Product_ID,Order_Quantity,Customer_ID,Store_ID
OR#101000,2/21/2021,1,PRD#_10196,1,C_1074,ST_901
OR#101000,2/21/2021,2,PRD#_10422,2,C_1074,ST_901
OR#101000,2/21/2021,3,PRD#_10292,5,C_1074,ST_901
OR#101000,2/21/2021,4,PRD#_10548,2,C_1074,ST_901
OR#101000,2/21/2021,5,PRD#_10427,5,C_1074,ST_901
OR#101001,2/17/2021,1,PRD#_10400,1,C_1073,ST_112
OR#101001,2/17/2021,2,PRD#_10108,3,C_1073,ST_112
OR#101001,2/17/2021,3,PRD#_10313,2,C_1073,ST_112
OR#101001,2/17/2021,4,PRD#_10779,2,C_1073,ST_112
OR#101002,2/9/2021,1,PRD#_10803,1,C_1063,ST_123
OR#101002,2/9/2021,2,PRD#_10439,3,C_1063,ST_123
OR#101002,2/9/2021,3,PRD#_10371,4,C_1063,ST_123
OR#101003,2/6/2021,1,PRD#_10046,5,C_1115,ST_123
OR#101003,2/6/2021,2,PRD#_10833,2,C_1115,ST_123
OR#101003,2/6/2021,3,PRD#_10797,2,C_1115,ST_123
OR#101003,2/6/2021,4,PRD#_10470,5,C_1115,ST_123
OR#101004,2/20/2021,1,PRD#_10481,5,C_1002,ST_123
OR#101004,2/20/2021,2,PRD#_10328,4,C_1002,ST_123
OR#101004,2/20/2021,3,PRD#_10643,4,C_1002,ST_123
OR#101005,2/24/2021,1,PRD#_10753,4,C_1068,ST_678
OR#101005,2/24/2021,2,PRD#_10299,1,C_1068,ST_678
OR#101006,2/22/2021,1,PRD#_10531,1,C_1073,ST_456
OR#101007,2/18/2021,1,PRD#_10143,2,C_1024,ST_345
OR#101007,2/18/2021,2,PRD#_10537,5,C_1024,ST_345
OR#101007,2/18/2021,3,PRD#_10816,3,C_1024,ST_345
OR#101007,2/18/2021,4,PRD#_10436,3,C_1024,ST_345
OR#101007,2/18/2021,5,PRD#_10016,4,C_1024,ST_345
OR#101008,2/20/2021,1,PRD#_10150,5,C_1049,ST_345
OR#101009,2/13/2021,1,PRD#_10114,2,C_1026,ST_456
OR#101009,2/13/2021,2,PRD#_10562,1,C_1026,ST_456
OR#101009,2/13/2021,3,PRD#_10545,4,C_1026,ST_456
OR#101009,2/13/2021,4,PRD#_10589,1,C_1026,ST_456
OR#101009,2/13/2021,5,PRD#_10319,5,C_1026,ST_456
OR#101010,2/2/2021,1,PRD#_10674,3,C_1071,ST_890
OR#101010,2/2/2021,2,PRD#_10586,2,C_1071,ST_890
OR#101010,2/2/2021,3,PRD#_10523,2,C_1071,ST_890
OR#101011,2/8/2021,1,PRD#_10764,3,C_1143,ST_901
OR#101012,2/11/2021,1,PRD#_10135,4,C_1038,ST_456
OR#101012,2/11/2021,2,PRD#_10126,1,C_1038,ST_456
OR#101012,2/11/2021,3,PRD#_10535,1,C_1038,ST_456
OR#101012,2/11/2021,4,PRD#_10773,3,C_1038,ST_456
OR#101012,2/11/2021,5,PRD#_10063,1,C_1038,ST_456
OR#101013,2/27/2021,1,PRD#_10304,1,C_1021,ST_567
OR#101014,2/21/2021,1,PRD#_10486,3,C_1124,ST_112
OR#101015,2/15/2021,1,PRD#_10539,3,C_1003,ST_456
OR#101015,2/15/2021,2,PRD#_10415,5,C_1003,ST_456
OR#101016,2/9/2021,1,PRD#_10072,3,C_1067,ST_123
OR#101016,2/9/2021,2,PRD#_10375,2,C_1067,ST_123
OR#101016,2/9/2021,3,PRD#_10300,1,C_1067,ST_123
OR#101017,2/13/2021,1,PRD#_10431,2,C_1114,ST_890
OR#101017,2/13/2021,2,PRD#_10302,2,C_1114,ST_890
OR#101017,2/13/2021,3,PRD#_10134,4,C_1114,ST_890
OR#101017,2/13/2021,4,PRD#_10628,4,C_1114,ST_890
OR#101018,2/15/2021,1,PRD#_10183,4,C_1098,ST_901
OR#101018,2/15/2021,2,PRD#_10354,2,C_1098,ST_901
OR#101018,2/15/2021,3,PRD#_10587,5,C_1098,ST_901
OR#101018,2/15/2021,4,PRD#_10650,2,C_1098,ST_901
OR#101018,2/15/2021,5,PRD#_10032,1,C_1098,ST_901
OR#101019,2/8/2021,1,PRD#_10608,4,C_1072,ST_890
OR#101020,2/17/2021,1,PRD#_10489,2,C_1128,ST_234
OR#101020,2/17/2021,2,PRD#_10449,4,C_1128,ST_234
OR#101020,2/17/2021,3,PRD#_10062,5,C_1128,ST_234
OR#101020,2/17/2021,4,PRD#_10049,2,C_1128,ST_234
OR#101020,2/17/2021,5,PRD#_10624,3,C_1128,ST_234
OR#101021,2/6/2021,1,PRD#_10582,1,C_1116,ST_901
OR#101022,2/26/2021,1,PRD#_10482,5,C_1111,ST_678
OR#101022,2/26/2021,2,PRD#_10232,2,C_1111,ST_678
OR#101022,2/26/2021,3,PRD#_10005,4,C_1111,ST_678
OR#101023,2/25/2021,1,PRD#_10640,1,C_1087,ST_112
OR#101023,2/25/2021,2,PRD#_10664,3,C_1087,ST_112
OR#101024,2/9/2021,1,PRD#_10083,4,C_1134,ST_678
OR#101025,2/12/2021,1,PRD#_10430,3,C_1074,ST_678
OR#101026,2/24/2021,1,PRD#_10612,5,C_1099,ST_678
OR#101026,2/24/2021,2,PRD#_10495,4,C_1099,ST_678
OR#101026,2/24/2021,3,PRD#_10525,2,C_1099,ST_678
OR#101027,2/4/2021,1,PRD#_10191,4,C_1131,ST_901
OR#101028,2/16/2021,1,PRD#_10577,3,C_1046,ST_567
OR#101028,2/16/2021,2,PRD#_10656,3,C_1046,ST_567
OR#101028,2/16/2021,3,PRD#_10167,3,C_1046,ST_567
OR#101028,2/16/2021,4,PRD#_10030,3,C_1046,ST_567
OR#101029,2/25/2021,1,PRD#_10413,3,C_1020,ST_456
OR#101029,2/25/2021,2,PRD#_10146,3,C_1020,ST_456
OR#101029,2/25/2021,3,PRD#_10077,1,C_1020,ST_456
OR#101029,2/25/2021,4,PRD#_10348,2,C_1020,ST_456
OR#101029,2/25/2021,5,PRD#_10442,4,C_1020,ST_456
OR#101030,2/21/2021,1,PRD#_10141,1,C_1026,ST_456
OR#101030,2/21/2021,2,PRD#_10733,4,C_1026,ST_456
OR#101031,2/10/2021,1,PRD#_10160,1,C_1054,ST_456
OR#101031,2/10/2021,2,PRD#_10099,1,C_1054,ST_456
OR#101031,2/10/2021,3,PRD#_10753,4,C_1054,ST_456
OR#101032,2/6/2021,1,PRD#_10189,5,C_1018,ST_890
OR#101033,2/26/2021,1,PRD#_10721,5,C_1111,ST_123
