PRD_CAT_SEQ_ID,PRD_CAT_NAME,PRD_CAT_ID
10001,Baking Ingredient,PCAT_10001
10002,Candy,PCAT_10002
10003,Chocolate,PCAT_10003
10004,Confectionery,PCAT_10004
10005,Dairy Product,PCAT_10005
10006,Dry Fruits & Nuts,PCAT_10006
10007,Edible Oil,PCAT_10007
10008,Flour,PCAT_10008
10009,Frozen Foods,PCAT_10009
10010,Ghee,PCAT_10010
10011,Health Supplements,PCAT_10011
10012,Jelly,PCAT_10012
10013,Jelly Beans,PCAT_10013
10014,Legumes & Lentils,PCAT_10014
10015,Oetker,PCAT_10015
10016,Pickles and Chutneys,PCAT_10016
10017,Rice,PCAT_10017
10018,Sauces,PCAT_10018
10019,Seasonings,PCAT_10019
10021,Snacks,PCAT_10021
10022,Spices,PCAT_10022
10023,Sweets,PCAT_10023
10024,Syrup,PCAT_10024
10025,Toffee,PCAT_10025
